query,title,sentence
人工知能,人工知能,画像生成の技術としては、VAE、GAN、拡散モデルといった大きく分けて三種類が存在する。
人工知能,人工知能,データセンターの電力消費に既存の電力網が追いつかず、無用の長物となるリスクも生じている。
人工知能,人工知能,EU全体としても、「Horizon 2020」計画を通じて、215億ユーロが投じられる方向。
人工知能,人工知能,人工知能は目標を最大化することを正しく学習していたが、その結果は社会にとって有害であった。
人工知能,人工知能,透明性の問題にはいくつかの解決策がある。
人工知能,人工知能学会,また、人工知能学会ではフェローや名誉会員といった称号を授与している。
人工知能,人工知能学会,編集委員会が編集を担当する。
人工知能,フィクションにおける人工知能,『マトリックス』（1999年）では、AIが人類の支配を実現した世界を舞台としている。
人工知能,フィクションにおける人工知能,ISBN 4-7835-0191-2。
人工知能,フィクションにおける人工知能,しかし、Golem XIV は戦争や暴力は非論理的だとして、戦争への協力を拒み、哲学者になる。
人工知能,フィクションにおける人工知能,ウィル博士とエヴリンは死亡したが、全世界に放出したナノマシンは汚染された水と生物を浄化していた。
人工知能,フィクションにおける人工知能,人間が全く操作しなくとも走行できる自動車は、フィクションにおいてもしばしば登場してきた。
人工知能,技術的特異点,ジェラルド・S・ホーキンズは『宇宙へのマインドステップ』（白揚社、1988年2月。
人工知能,技術的特異点,彼らは、技術的マイルストーンやエネルギー制御方法や情報量などで文明発展の度合いを測った。
人工知能,技術的特異点,また前掲書でカーツワイルは、特異点によってもたらされる未来世界の説明として、次の寸劇を描いている。
人工知能,技術的特異点,東浩紀は「けれどもカーツワイルの本を実際に読んでみると、その根拠はかなり薄弱であることに気がつく。
人工知能,技術的特異点,2026年には大規模言語モデル（LLM）の学習に使えるデータが枯渇するとの予測がある。
人工知能,知能,学習とは、事実や情報または能力を保持し、将来の使用のためにそれらを思い出すことができることを指す。
人工知能,知能,知能（ちのう、英: Intelligence）は多くの方法で定義されてきた。
人工知能,知能,これらの研究者たちは、特定の種における精神能力の研究と、種間での能力の比較の両方に関心を持っている。
人工知能,知能,一部の研究者は植物が知能の形態を示すと示唆しているが、これは依然として議論の的となっている。
人工知能,知能,この用語は1900年代初頭に注目を集めるようになった。
人工知能,デジモンユニバース アプリモンスターズ,カードゲーム1弾ブースターに収録されていたカードに登場。
人工知能,デジモンユニバース アプリモンスターズ,世界のグリニッジ標準時であるグリニッジ天文台を神様と尊敬している。
人工知能,デジモンユニバース アプリモンスターズ,機械のような体をしている。
人工知能,デジモンユニバース アプリモンスターズ,アプモンによる事件の被害によく巻き込まれており、その度に「ノーウ!!」と絶叫している。
人工知能,デジモンユニバース アプリモンスターズ,データカードダス1弾、2弾に収録されていたカードおよびアプモンチップに登場。
人工知能,アメリカ人工知能学会,これらの学会に提出された論文は、アクセプト後 AAAI Press にて公開される。
人工知能,アメリカ人工知能学会,2014年まではこの2つは隔年で開催していた。
人工知能,アメリカ人工知能学会,2016年度の開催時期も同様である。
人工知能,アメリカ人工知能学会,単にAAAI，あるいは「今年のAAAI」などと呼ぶ場合は、この学会のことをさす場合もある。
人工知能,アメリカ人工知能学会,世界中に6，000人以上の会員がいる。
人工知能,コンピュータ,世界のパソコン出荷台数がピークの3億5280万台に達する。
人工知能,コンピュータ,1905年 イギリスの物理学者のジョン・フレミングが二極真空管を発明。
人工知能,コンピュータ,サーバ・デスクトップPC・ノートPCは、2019年時点で20億台を超えると推計されている。
人工知能,コンピュータ,Multicsが開発される。
人工知能,コンピュータ,ゲイリー・キルドールが8ビットCPU（8080）用のディスクオペレーティングシステムCP/Mを開発。
人工知能,強いAIと弱いAI,脳自体は感じていないが、感覚を生じている。
人工知能,強いAIと弱いAI,一旦このようなモデルが構築されれば、変更は容易であり、試行錯誤的な実験が可能となる。
人工知能,強いAIと弱いAI,つまり、合成知能（あるいは人工知能）と自然に発生する知能の境界は何かという問題である。
人工知能,強いAIと弱いAI,シミュレーションする神経細胞数が増えれば、必要な計算能力は増大する。
人工知能,強いAIと弱いAI,シミュレーションの具体的な形式は様々である。
人工知能,マービン・ミンスキー,ミンスキーはローブナー賞には批判的である。
人工知能,マービン・ミンスキー,ミンスキーは以下の組織・団体に加入している。
人工知能,マービン・ミンスキー,この本の草稿は彼のウェブページで無料で公開されている。
人工知能,マービン・ミンスキー,現在ダートマス会議として知られる会議の発起人の一人。
人工知能,マービン・ミンスキー,ミンスキーは3人の子をもうけた。
大学,大学,第二のタイプはパリにおけるもので、教師は教会から給料を支払われる。
大学,大学,20世紀になってからは、欧米以外の世界の各国でも多くの大学が誕生してくるようになる。
大学,大学,課程は主題やテーマによってではなく書物に従って設けられる。
大学,大学,したがって、パリではヨーロッパ中からの教師にとって第一の場所になった。
大学,大学,大学の研究は学士号のために6年かかり、修士号や博士号のためにはさらに12年に及んだ。
大学,東京大学,1891年（明治24年）8月 法科大学の修業年限を3年から4年に延長した。
大学,東京大学,アメリカンフットボール部や漕艇部、硬式野球部、応援部は有名である。
大学,東京大学,戦前の六大学野球では校歌代わりによく歌われた。
大学,東京大学,10月 文学部内に新聞研究室を開設（新聞研究所の前身）。
大学,東京大学,学生・院生・研究生・教職員・卒業生・修了生・元教職員などを会員とする財団法人。
大学,京都大学,」と定められている。
大学,京都大学,京都大学の学生寮（特に吉田寮と熊野寮）は、伝統的に学生による自治運営が行われてきた。
大学,京都大学,吉田キャンパス時計台前のクスノキを図案化したものが大学のエンブレムとして使用されている。
大学,京都大学,1976年5月 工学部附属超高温プラズマ研究施設をヘリオトロン核融合研究センターに改組。
大学,京都大学,1946年9月 食糧科学研究所附置。
大学,東海大学,明治神宮野球大会優勝3回。
大学,東海大学,跡地は、敷地の一部を阿蘇実習フィールドに転用。
大学,東海大学,放送大学学園と単位互換協定をしている。
大学,東海大学,2008年10月に、静岡大学と静岡県立大学との間で大学院連携の単位互換と学術交流を行う協定を締結。
大学,東海大学,「FM東海」（略称:FMT）は、主に後者を指すが、実用化試験局廃止後は、実験局の通称ともなった。
大学,早稲田大学,『早稲田大学教旨』、校旗、式服、式帽を制定。
大学,早稲田大学,体力練磨、集団訓練を目的に小平に錬成道場、東伏見に体練道場が設けられた。
大学,早稲田大学,大学関係者からは「100ハイ」などと呼ばれる。
大学,早稲田大学,14号館に名前を冠した「頂新国際グループ記念学生読書室」がある。
大学,早稲田大学,5月 - 大隈記念学術褒賞と小野梓記念賞を制定。
大学,日本大学,4月 - 付属藤沢中学校を設置。
大学,日本大学,1956年（昭和31年）3月 - 津田沼校地を取得（翌年工学部工業経営学科が移転）。
大学,日本大学,2月 - 日本大学図書館開館式を挙行。
大学,日本大学,大学側はこれによる学費値上げについては完全に否定した。
大学,日本大学,理工学部に数学科を設置。
大学,中央大学,9月：関東大震災により図書館と増築校舎を除き焼失。
大学,中央大学,公認会計士試験合格者数は、試験開始年から1970年頃まで1位であった。
大学,中央大学,1946年（昭和21年）4月：女子学生3名が初めて入学。
大学,中央大学,12月：中央大学設立認可を申請。
大学,中央大学,総合政策学部フレックス制廃止。
大学,筑波大学,それまでの8研究科85専攻は、学生の在学中は新組織と併存する。
大学,筑波大学,定員は約4000人であり、全て筑波キャンパスにある。
大学,筑波大学,各宿舎に入居する学群1年生の多くがクラス毎に模擬店を出すのが慣例となっている。
大学,筑波大学,以前は1年生・2年生のほぼ全員が入居したが、のちにほぼ1年生だけになった。
大学,筑波大学,1976年（昭和51年）：筑波大学附属病院を開設。
大学,九州大学,伊都キャンパス移転に伴い、2009年（平成21年）9月29日に閉校した。
大学,九州大学,「いも九」については、九大農学研究院と福徳長酒類が共同開発した芋焼酎にもその名が冠されている。
大学,九州大学,詳細は、学士会を参照。
大学,九州大学,1945年（昭和20年） - 太平洋戦争下、九州大学生体解剖事件が発生。
大学,九州大学,また、九州電力による寄附講座では九州大学と九州工業大学の合同シンポジウムが開催されている。
大学,東北大学,同年10月「過重労働の恣意（しい）的強制があった」として労災認定を受けた。
大学,東北大学,以下は2013年から2024年までの東北大学祭のテーマである。
大学,東北大学,これと同時に新たにパンショップが開店した。
大学,東北大学,Bee（蜂）という名前は旧制二高の校章の蜂に由来する。
